Alloy ID,Alloy,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,Re,N,Sc,Li,Sn,Be,Num_of_Elem,dHmix,dSmix,dGmix,Tm,Atom.Size.Diff,Elect.Diff,VEC,Sythesis_Route,Microstructure_,Microstructure,Phases,References
Alloy 0059,HfMo0.5NbTiV0.5,0,0,0,0,0,0,0,0.25,0.125,0.25,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,5,-2.188365651,12.6484181,544.2137787,2090.311736,8.125950407,0.165384845,4.394736842,AC,BCC,BCC,BCC_SS,10.1016/j.jallcom.2016.10.014
Alloy 0060,HfMo0.5NbTiV0.5,0,0,0,0,0,0,0,0.25,0.125,0.25,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,5,-2.188365651,12.6484181,544.2137787,2090.311736,8.125950407,0.165384845,4.394736842,AC,BCC,BCC,BCC_SS,10.1016/j.jallcom.2016.10.014
Alloy 0061,HfMo0.75NbTaTiZr,0,0,0,0,0,0,0,0.173913043,0,0.173913043,0.130434783,0.173913043,0.173913043,0.173913043,0,0,0,0,0,0,0,0,0,0,0,6,2.056710775,14.85564568,597.427759,2314.308612,5.653424959,0.262094227,4.608695652,AC,BCC,BCC,BCC_SS,10.1016/j.matlet.2016.03.133
Alloy 0062,HfMoNbTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,-1.6,13.38,634.561604,2444.2,5.06,0.31,4.6,AC,BCC,BCC,BCC_SS,10.1016/j.matdes.2015.05.019
Alloy 0063,HfMoNbTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,-1.6,13.38,634.561604,2444.2,5.06,0.31,4.6,AC,BCC,BCC,BCC_SS,10.1016/j.matdes.2015.05.019
Alloy 0064,HfMoNbTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,-1.6,13.38,634.561604,2444.2,5.06,0.31,4.6,AC,BCC,BCC,BCC_SS,10.1016/j.matdes.2015.05.019
Alloy 0065,HfMoNbTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,-1.6,13.38,634.561604,2444.2,5.06,0.31,4.6,AC,BCC,BCC,BCC_SS,10.1016/j.matdes.2015.05.019
Alloy 0066,HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,5,2.72,13.38,655.02398,2523,4.01,0.12,4.4,AC,BCC,BCC,BCC_SS,10.1016/j.actamat.2017.09.035
Alloy 0067,HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,5,2.72,13.38,655.02398,2523,4.01,0.12,4.4,AC,BCC,BCC,BCC_SS,10.1016/j.jallcom.2014.11.064
Alloy 0068,HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,5,2.72,13.38,655.02398,2523,4.01,0.12,4.4,AC,BCC,BCC,BCC_SS,10.1016/j.matlet.2016.03.133
